date,block,bps,txps,mgasps,peers,time,bps_avg
23/06/20 11:25,191490,1382,125.4,22.6,4,195,
23/06/20 11:25,195143,730.8,170.4,65.7,4,200,
23/06/20 11:25,196340,239.35,160,45.5,4,205,
23/06/20 11:25,201517,1035.2,123.6,33.1,5,210,
23/06/20 11:26,207323,1161.4,130.2,78.3,5,215,
23/06/20 11:26,215101,1555.6,32,5.6,5,220,
23/06/20 11:26,222446,1468.8,122.8,28.4,5,225,
23/06/20 11:26,228772,1265.4,225.4,39.4,5,230,
23/06/20 11:26,234268,1099.2,319.4,50.6,5,235,
23/06/20 11:26,239015,949.4,537.4,54.1,5,240,
23/06/20 11:26,245855,1366.98,170.7,70.6,5,245,
23/06/20 11:26,252381,1305.6,99.6,23.9,5,250,
23/06/20 11:26,258810,1285.4,71.6,19.4,5,255,
23/06/20 11:26,264697,1177.64,84.8,21.9,5,260,
23/06/20 11:26,268942,849.2,145.2,55.3,5,265,
23/06/20 11:26,274517,1114.53,116.9,35.2,5,270,
23/06/20 11:27,280504,1196.52,114.2,60.2,5,275,
23/06/20 11:27,284942,887.8,505.2,60.1,5,280,
23/06/20 11:27,290771,1165.57,149.2,21.6,5,285,
23/06/20 11:27,296505,1146.8,97,16.6,4,290,
23/06/20 11:27,302967,1292.2,151.6,27.2,5,295,1025.28135441089
23/06/20 11:27,308193,1045.4,192.8,56.4,5,300,1042.99661306713
23/06/20 11:27,313987,1158.8,171.2,43,5,305,1062.63728655885
23/06/20 11:27,318274,857.4,214.6,73.6,5,310,1077.16949222256
23/06/20 11:27,321902,725.8,142.6,44.7,3,315,1089.46779499362
23/06/20 11:27,325950,809.04,137.4,33.3,5,320,1103.18983122245
23/06/20 11:27,331500,1110.2,144.2,33.8,5,325,1122.00339055666
23/06/20 11:27,337563,1211.63,151.5,31.6,6,330,1142.55593050806
23/06/20 11:28,343122,1111.58,169.4,42.4,6,335,1161.40000322658
23/06/20 11:28,347128,800.08,256.2,40.8,4,340,1174.97965927351
23/06/20 11:28,351040,782.4,218.4,38.6,6,345,1188.24067873512
23/06/20 11:28,355167,816.15,211.8,35.8,6,350,1202.2305066907
23/06/20 11:28,359514,878.9,170.1,31.5,6,355,1216.96610248252
23/06/20 11:28,365110,1118.2,266.8,37.2,6,360,1235.93559402022
23/06/20 11:28,369847,948.2,270.8,32.5,6,365,1251.99321848127
23/06/20 11:28,373116,653.8,380.2,45.2,6,370,1242.60339328269
23/06/20 11:28,375179,412.8,409.6,36.6,6,375,1221.41016767919
23/06/20 11:28,379201,804.2,240.2,30.6,6,380,1205.88813637366
23/06/20 11:28,384605,1080.8,157.4,23,6,385,1193.08474399241
23/06/20 11:28,389554,989.8,242.8,48.6,6,390,1181.58305161217
23/06/20 11:29,393592,807.36,287.3,37.2,6,395,1168.28474651881
23/06/20 11:29,398719,1025.6,182.2,34.5,7,400,1160.74237115904
23/06/20 11:29,402992,854.6,276.8,34,7,405,1150.01017268646
23/06/20 11:29,406694,740.2,498.6,29.1,7,410,1135.93220170433
23/06/20 11:29,408768,414.8,419.8,37.7,7,415,1115.95593292563
23/06/20 11:29,412679,782.4,493.8,36.3,7,420,1106.84406615427
23/06/20 11:29,416721,808.4,360.8,29.3,7,425,1096.50847528592
23/06/20 11:29,421252,906.2,303.4,25.3,7,430,1079.62033968177
23/06/20 11:29,426074,964.4,453.8,55.2,7,435,1067.7050831615
23/06/20 11:29,429716,728.2,569.6,78.2,7,440,1056.13559390386
23/06/20 11:29,433101,677.2,487.6,37.1,7,445,1046.14237132909
23/06/20 11:29,435904,560.69,484.5,49.9,7,450,1024.51186506983
23/06/20 11:30,437377,294.4,378,54.6,7,455,1001.49152393771
23/06/20 11:30,439421,408.8,698.2,55.8,7,460,986.715254875881
23/06/20 11:30,442091,534.2,504.2,55.2,7,465,977.196610801924
23/06/20 11:30,445222,626.2,513.2,47.4,7,470,961.9186426405
23/06/20 11:30,448244,604.4,351.4,32.4,7,475,947.701695528598
23/06/20 11:30,449809,312.8,322.2,43.4,7,480,926.755930828267
23/06/20 11:30,452753,588.8,444.2,34.4,7,485,909.064407367999
23/06/20 11:30,454835,416.4,442.8,62.4,7,490,892.694913929655
23/06/20 11:30,458873,807.6,303.4,41.1,7,495,894.000000578588
23/06/20 11:30,459458,117.2,379.6,54.9,6,500,891.925424306059
23/06/20 11:30,460585,225.02,389.5,57.3,8,505,878.196608866422
23/06/20 11:30,464358,755.36,337.1,35.1,8,510,871.305085309663
23/06/20 11:31,466184,365.4,382.2,50.5,8,515,851.128812296415
23/06/20 11:31,468702,503.3,326.5,40.6,7,520,834.766102235168
23/06/20 11:31,470637,387.2,481.8,50.3,7,525,819.881354715662
23/06/20 11:31,473843,641,315.2,33.2,7,530,812.118644593392
23/06/20 11:31,476132,458,296.2,50.1,7,535,803.786441198169
23/06/20 11:31,478144,402.2,348.2,46.5,7,540,787.420337814675
23/06/20 11:31,481701,711.26,555.9,43.9,7,545,777.355932706487
23/06/20 11:31,485529,765.6,225.8,52.4,6,550,768.538981910488
23/06/20 11:31,487794,453.2,276,67.1,7,555,756.261017438597
23/06/20 11:31,489424,326,340.6,55.3,7,560,747.396609060503
23/06/20 11:31,492616,638.4,299.6,43.5,7,565,739.318644546276
23/06/20 11:31,494760,428.8,291.2,39.7,7,570,726.291525893778
23/06/20 11:32,498209,689.6,303.6,33.3,7,575,722.938981978149
23/06/20 11:32,500997,557.8,396.2,40.1,7,580,712.630508935784
23/06/20 11:32,503241,448.13,387.6,66,7,585,700.799998960151
23/06/20 11:32,505944,540.8,362.8,60.1,7,590,688.057627563948
23/06/20 11:32,509764,763.54,540.5,48.6,7,595,683.291524409859
23/06/20 11:32,513768,800.8,256.2,28.9,7,600,677.223729251852
23/06/20 11:32,518421,930.01,284.3,29.3,7,605,678.464407218757
23/06/20 11:32,522672,850.6,249.6,37,7,610,680.5762701766
23/06/20 11:32,526959,856.8,328.2,63.6,7,615,681.386441118953
23/06/20 11:32,531375,883.62,228,19.9,7,620,677.542371876017
23/06/20 11:32,536176,960,223,17.9,7,625,673.264408650113
23/06/20 11:32,540793,922.86,225.6,19.3,7,631,667.807432335779
23/06/20 11:33,546128,1067,534.2,37.1,7,635,674.57627162302
23/06/20 11:33,550370,848.51,292.8,32.3,9,640,675.694915691541
23/06/20 11:33,555170,960.4,307.6,25.3,9,645,677.976270180458
23/06/20 11:33,559663,897.6,244.4,31.8,9,650,678.471186879778
23/06/20 11:33,565459,1159.5,199.3,21.4,9,655,679.14915153465
23/06/20 11:33,569655,839.2,320.6,28,9,660,677.315256118994
23/06/20 11:33,574319,932.61,254.1,21.1,9,665,682.044066784592
23/06/20 11:33,578910,918.37,268.5,25.1,9,670,690.613559768992
23/06/20 11:33,583070,832.03,255.5,25.5,9,675,691.081356379465
23/06/20 11:33,586865,759.15,304.1,37.6,9,680,685.627117626733
23/06/20 11:33,591057,838.4,284.6,37.3,9,685,683.061017391223
23/06/20 11:33,595092,807,259.8,29.6,9,690,683.050846444115
23/06/20 11:34,600021,985.6,289.6,32.7,8,695,682.379662912725
23/06/20 11:34,605221,1040.2,303.6,58.2,9,700,685.522032881126
23/06/20 11:34,609137,783.4,302.2,84.9,9,705,686.247458071251
23/06/20 11:34,613552,882.8,241,35,9,710,694.183051296726
23/06/20 11:34,617524,794.4,296,27.2,9,715,694.389829478137
23/06/20 11:34,621250,745.25,270.7,27.8,9,720,693.318644516506
23/06/20 11:34,624063,562.29,357.3,74.7,9,725,687.494914234131
23/06/20 11:34,627563,714.29,289.4,50.3,9,730,683.01356121957
23/06/20 11:34,630518,591,288.8,41.4,9,735,680.68474475271
23/06/20 11:34,634692,833.83,332.9,32.3,5,740,683.359322476162
23/06/20 11:34,636999,462.2,377.2,81.7,9,745,681.67796654287
23/06/20 11:34,640216,643.4,923.2,58.1,9,750,687.589829488227
23/06/20 11:35,644111,779,400,51.4,9,755,693.864407228723
23/06/20 11:35,647643,706.4,415.6,57.7,10,760,696.786439644073
23/06/20 11:35,651226,716.17,356,30.7,10,765,698.318646007853
23/06/20 11:35,654812,717.09,354.9,32.4,9,770,700.230507435573
23/06/20 11:35,658522,741.8,323.8,26.8,9,775,707.501695373142
23/06/20 11:35,662272,750.45,308.1,27.7,9,780,710.233898764741
23/06/20 11:35,665389,623.03,396.4,81.4,9,785,713.742371822304
23/06/20 11:35,669118,745.8,348.8,73.8,9,790,712.694915715487
23/06/20 11:35,671799,536.2,438,78,9,795,719.799998931959
23/06/20 11:35,675472,734.6,347.8,60.1,9,800,728.430510498289
23/06/20 11:35,679400,785.6,491,49.3,9,805,728.955931121763
23/06/20 11:35,682459,611.8,488.6,48.7,9,810,733.135593694817
23/06/20 11:36,686199,748.2,290.2,44.7,8,815,737.277966578854
23/06/20 11:36,689091,578,358.2,162.5,9,820,740.522034377564
23/06/20 11:36,692249,631.67,293.1,30.9,9,825,740.359322513052
23/06/20 11:36,696269,804.16,310.9,29,10,830,746.227117536815
23/06/20 11:36,699930,732.4,304,28.5,9,835,751.816951241227
23/06/20 11:36,703387,690.51,347.3,63,9,840,751.47796498665
23/06/20 11:36,706243,571.4,347.8,116.4,9,845,748.183051331674
23/06/20 11:36,710419,835,232.8,37.6,6,850,754.661017437562
23/06/20 11:36,716000,1115.98,188.6,31.9,9,855,768.054237785213
23/06/20 11:36,720408,881.75,176.1,49.5,9,860,772.176271686186
23/06/20 11:36,724065,731.6,384.8,64.6,9,865,777.305083592396
23/06/20 11:36,726625,512,242.4,29.2,9,870,774.291527574852
23/06/20 11:37,729407,556.07,368.4,47.9,10,875,774.271185291813
23/06/20 11:37,733140,746.3,318.3,41.3,11,880,779.318644572164
23/06/20 11:37,738696,1110.8,194,19.5,11,885,788.989831019101
23/06/20 11:37,742528,766.8,306,46.5,11,890,789.030508985229
23/06/20 11:37,746479,790.4,325.8,42.8,11,895,788.850847968164
23/06/20 11:37,750702,843.63,363.7,37.2,11,900,787.393219170647
23/06/20 11:37,754383,736.51,410.4,41.8,11,905,785.461019131307
23/06/20 11:37,756952,512.68,382.7,50.5,11,910,779.637286978766
23/06/20 11:37,760582,726.98,345.9,47.9,11,915,776.972881858782
23/06/20 11:37,763715,626.6,418,88.7,11,920,771.318642923312
23/06/20 11:37,767532,763.2,411.6,52.1,11,925,771.221087900347
23/06/20 11:37,770875,668.8,331.8,51.4,11,930,761.8542377812
23/06/20 11:38,774399,703,330.6,36.4,11,935,759.420337856221
23/06/20 11:38,778030,727.8,278.4,30.2,11,940,755.457629217443
23/06/20 11:38,781602,714.6,315.8,33.6,11,945,752.335592104022
23/06/20 11:38,785038,687.2,420.8,91.3,11,950,744.335593702066
23/06/20 11:38,789757,943.6,343.8,54.9,11,955,746.108473469194
23/06/20 11:38,791859,420.8,403,49.8,11,960,737.423729290813
23/06/20 11:38,794925,613.08,359.1,41.4,11,965,732.254237762043
23/06/20 11:38,797864,587.8,429,79.7,11,970,728.115253156909
23/06/20 11:38,801133,653.6,403.6,134.4,11,975,726.332205407714
23/06/20 11:38,804828,739.05,424.3,47.8,11,980,724.647456551885
23/06/20 11:38,808060,646.2,352.2,33.2,11,985,721.925424196037
23/06/20 11:38,810643,516.6,329.4,63.7,11,990,713.972880296538
23/06/20 11:39,814261,723.6,354.8,37.5,11,995,708.610169950131
23/06/20 11:39,818761,898,355.6,37.2,11,1000,710.589830968361
23/06/20 11:39,821461,541.89,233.2,80.2,11,1005,704.776270140692
23/06/20 11:39,824166,541.2,267.4,76.2,11,1010,700.481357878268
23/06/20 11:39,827791,724.66,369.1,36,11,1015,700.13898201198
23/06/20 11:39,831755,792.04,414.5,59.2,11,1020,704.04067842175
23/06/20 11:39,835522,753.5,318.5,37.2,11,1025,704.945761665864
23/06/20 11:39,839016,699,364.4,38.5,11,1030,706.772881813349
23/06/20 11:39,842756,745.2,378.5,47.7,11,1035,705.301695371719
23/06/20 11:39,847073,865.77,416.1,62.7,11,1040,712.11525318065
23/06/20 11:39,850280,638.07,407.5,53.2,11,1045,712.081357910495
23/06/20 11:39,855365,1020.2,268.2,37,11,1050,716.115253174715
23/06/20 11:40,859951,917.2,292,30.6,11,1055,719.688136058995
23/06/20 11:40,863514,712.8,275.4,28.9,11,1060,719.620337915277
23/06/20 11:40,867226,742.2,292,42.6,11,1065,720.047458093126
23/06/20 11:40,870502,655.27,319.3,38.6,11,1070,718.576271651496
23/06/20 11:40,874096,718.6,357,60.8,11,1075,718.047456561678
23/06/20 11:40,876979,576.4,441.4,62.1,11,1080,717.254239280799
23/06/20 11:40,880157,635.67,320.1,49.3,11,1085,715.386439616474
23/06/20 11:40,883174,603.52,314.9,72.6,11,1090,716.525424192542
23/06/20 11:40,886893,744,383.6,64.5,11,1095,716.68135486879
23/06/20 11:40,890386,698.26,313.9,46.8,11,1100,715.206780123892
23/06/20 11:40,893996,722.29,379.6,50.2,11,1105,717.07457673527
23/06/20 11:40,897525,705.8,340.2,43,11,1110,716.359320970963
23/06/20 11:41,900530,601,337.6,55.9,11,1115,716.742373345225
23/06/20 11:41,904131,720.2,366.6,40.6,11,1120,718.244066730878
23/06/20 11:41,907179,609.6,496.8,79.6,11,1125,714.949153005081
23/06/20 11:41,910522,667.6,376.6,43.1,11,1130,713.871185381434
23/06/20 11:41,913530,602.32,438.3,48.4,11,1135,712.349153003398
23/06/20 11:41,916207,535.29,424.3,47,11,1140,711.742373341989
23/06/20 11:41,919338,626.25,452,63.4,11,1145,708.199998949171
23/06/20 11:41,922646,660.87,440.6,61.1,11,1150,700.494915707591
23/06/20 11:41,925705,611.46,302.2,58.9,11,1155,695.922032865695
23/06/20 11:41,928848,629.8,367.6,55.5,11,1160,694.179661466216
23/06/20 11:41,932861,802.6,378.6,40.1,11,1165,699.105083708429
23/06/20 11:41,936360,699.8,270,42.5,11,1170,701.535593674366
23/06/20 11:42,940113,750.45,358.3,45.7,11,1175,701.603390284579
23/06/20 11:42,943697,715,277.2,31,11,1180,694.918643036675
23/06/20 11:42,946868,635.93,491.9,80.9,11,1185,692.677966549989
23/06/20 11:42,949996,625.8,336.6,38.9,11,1190,689.888134569563
23/06/20 11:42,952791,558.8,406.8,63.2,11,1195,685.047458070475
23/06/20 11:42,955844,610.8,343.8,56.7,11,1200,682.918643054481
23/06/20 11:42,958252,481.5,515.7,82.5,11,1205,682.372881797557
23/06/20 11:42,961251,599.68,394.9,48.4,11,1210,680.233898745326
23/06/20 11:42,963380,425.8,646.4,94.9,11,1215,676.830507470294
23/06/20 11:42,966879,699.8,433.6,50.2,11,1220,675.752542810222
23/06/20 11:42,969624,549,496.6,82.4,11,1225,673.725422729138
23/06/20 11:42,973246,724,334.8,38.8,11,1230,674.057627554888
23/06/20 11:43,976637,677.2,291.4,30.9,11,1235,673.244066797649
23/06/20 11:43,980121,697.92,353.3,41.5,12,1240,672.945763147388
23/06/20 11:43,983486,673,330.8,36.6,12,1245,672.705085181131
23/06/20 11:43,986148,532.08,448.3,75.4,12,1250,665.732202402016
23/06/20 11:43,988868,544.11,351.3,69.8,12,1255,667.827119076279
23/06/20 11:43,991377,501.6,323.7,76.8,12,1260,665.938982062726
23/06/20 11:43,994831,690.8,396,85.4,12,1265,667.684746194831
23/06/20 11:43,997521,538,345.4,76.1,12,1270,665.722032910505
23/06/20 11:43,1000143,524.6,269.2,77.4,12,1275,662.084746191207
23/06/20 11:43,1003117,594.8,454,59.8,12,1280,661.210169919454
23/06/20 11:43,1005874,551.2,362,47.5,12,1285,661.79999901802
23/06/20 11:43,1008978,620.8,365.6,52,12,1290,660.057627545827
23/06/20 11:44,1011782,571.66,355.1,46.6,12,1295,654.308473605407
23/06/20 11:44,1016286,900.2,383.8,60.8,12,1300,660.423730648337
23/06/20 11:44,1022428,1228.8,146,37.9,12,1305,672.074575273961
23/06/20 11:44,1026070,728.51,476.2,70.3,12,1310,672.132203824828
23/06/20 11:44,1029414,668.6,409,56.8,12,1315,670.030508908214
23/06/20 11:44,1032845,686,375.4,82.5,12,1320,668.891524431226
23/06/20 11:44,1037309,892.62,346.5,52.7,12,1325,672.179661451977
23/06/20 11:44,1041828,904,427.6,68.4,12,1330,674.820337981751
23/06/20 11:44,1045583,751,542.4,69.9,12,1335,672.91525610677
23/06/20 11:44,1048144,512.2,421,61.8,12,1340,670.72542273359
23/06/20 11:44,1051493,669.8,399.8,57,12,1345,664.84067839638
23/06/20 11:44,1055824,865.48,230.5,53.1,12,1350,663.97627161616
23/06/20 11:45,1060090,853.4,687.6,55.5,12,1355,666.359321045153
23/06/20 11:45,1064455,873,378.6,30.3,12,1360,668.572881788626
23/06/20 11:45,1067674,643.8,459.6,63.9,12,1365,668.379660025206
23/06/20 11:45,1071491,763.4,341.4,61.4,12,1370,669.13559507932
23/06/20 11:45,1075125,727,305.8,55.7,12,1375,671.681354935561
23/06/20 11:45,1078050,584.8,392.8,51.2,12,1380,670.82372924771
23/06/20 11:45,1081627,715.4,364,71.7,12,1385,672.722034333684
23/06/20 11:45,1084063,487.4,495.6,85.6,12,1390,668.372880364199
23/06/20 11:45,1086732,532.2,794.4,55.7,12,1395,665.579661447706
23/06/20 11:45,1089620,579.2,442.4,58,12,1400,663.132202405874
23/06/20 11:45,1094290,933.8,367,37.9,12,1405,667.000001853048
23/06/20 11:45,1098239,789.64,379.1,45.4,12,1410,670.199999005556
23/06/20 11:46,1102233,798.32,355,37.1,12,1415,671.53220382444
23/06/20 11:46,1105816,716.54,527.3,78.3,12,1420,673.345763147647
23/06/20 11:46,1109965,829.8,488,70.6,12,1425,676.077965098529
23/06/20 11:46,1113235,654,601.8,66.1,12,1430,676.966102133041
23/06/20 11:46,1118367,1026.8,387.4,99.8,12,1435,685.288134576388
23/06/20 11:46,1122444,815.04,223.2,36.6,12,1440,688.494917167002
23/06/20 11:46,1125494,610,531.6,84.6,12,1445,687.620337962758
23/06/20 11:46,1129243,749.6,384.6,56.9,12,1450,689.959322480433
23/06/20 11:46,1132826,716.8,303.6,36.4,12,1455,691.450847905127
23/06/20 11:46,1137666,968,170.2,16.3,12,1460,694.254236258
23/06/20 11:46,1143243,1115.2,163.6,17.9,12,1465,701.298305538619
23/06/20 11:46,1147537,859,349,49.5,12,1470,703.132202346522
23/06/20 11:47,1152283,949.01,305.5,42.2,12,1475,707.071188405051
23/06/20 11:47,1155584,660,372.8,47.7,12,1480,707.511863356972
23/06/20 11:47,1158573,598.2,296,62.2,12,1485,707.040678423692
23/06/20 11:47,1161376,560.49,366.1,41.1,12,1490,707.067797067777
23/06/20 11:47,1165537,832,283.6,72,12,1495,710.823729273598
23/06/20 11:47,1168562,605,344,46.4,12,1500,712.91525469868
23/06/20 11:47,1172797,847.2,288.8,73.4,11,1505,717.105083681721
23/06/20 11:47,1177189,878,247,40.4,12,1510,724.776273200002
23/06/20 11:47,1181357,833.8,262.8,81.2,12,1515,727.044066717821
23/06/20 11:47,1186405,1009.6,238.6,35.4,12,1520,734.850847933215
23/06/20 11:47,1190268,772.45,329.9,38,12,1525,735.667797086287
23/06/20 11:47,1194880,922.4,192.4,23.2,14,1530,739.806780139813
23/06/20 11:48,1200197,1063.4,222.2,35.5,14,1535,746.020339465868
23/06/20 11:48,1206009,1162.4,174.6,51.3,14,1540,754.315253118034
23/06/20 11:48,1210876,973.2,382.4,75.9,14,1545,761.789832624866
23/06/20 11:48,1219538,1729.83,164.5,51.5,14,1550,781.932202229598
23/06/20 11:48,1227078,1510.42,203.9,35.5,14,1555,798.986441195062
23/06/20 11:48,1231633,911,350.4,48.2,14,1560,802.718644587308
23/06/20 11:48,1236013,876,410.8,78,14,1565,808.447458150338
23/06/20 11:48,1241620,1121.2,529,93.1,14,1570,818.566102224683
23/06/20 11:48,1246703,1016.8,474.2,83.8,14,1575,825.71525301209
23/06/20 11:48,1252727,1204.8,665.6,73,14,1580,836.78983283323
23/06/20 11:48,1260173,1489.4,387.8,32.3,14,1585,851.508473312801
23/06/20 11:48,1265430,1051.2,281.8,34.2,14,1590,859.823729370029
23/06/20 11:49,1268300,574,842.8,80.2,14,1595,854.284744495122
23/06/20 11:49,1272643,868.6,311.6,55.1,14,1600,848.186441226904
23/06/20 11:49,1277711,1013.8,462.1,108.6,14,1605,853.020339535117
23/06/20 11:49,1280294,516.6,547.4,110.2,14,1610,850.440676704216
23/06/20 11:49,1285063,953.8,370.2,66.3,13,1615,854.976273561721
23/06/20 11:49,1289485,884.4,405.2,84.9,13,1620,854.833897036681
23/06/20 11:49,1295513,1205.6,320,33.7,13,1625,859.949153098924
23/06/20 11:49,1298037,505,30.8,31.2,13,1630,855.776269916638
23/06/20 11:49,1305460,1484.4,241.2,16.5,13,1635,872.257627683161
23/06/20 11:49,1310717,1051.6,313.2,38,13,1640,878.725424297516
23/06/20 11:49,1315093,875,393.8,57,13,1645,878.877964797614
23/06/20 11:49,1319220,825.4,353.6,93.9,13,1650,878.406782101391
23/06/20 11:50,1323311,818.2,418.8,57.6,13,1655,877.477964799691
23/06/20 11:50,1327843,906.4,303.8,77.4,13,1660,881.928814130098
23/06/20 11:50,1332397,910.42,431.3,93.4,13,1665,884.427117331753
23/06/20 11:50,1335970,714.8,275.6,35.7,13,1670,884.22033955531
23/06/20 11:50,1340529,911.8,255.6,23.4,13,1675,889.759322609742
23/06/20 11:50,1344847,863.6,164.2,15.4,14,1680,892.271185116724
23/06/20 11:50,1348626,755.6,451.4,43.2,14,1685,896.823731305099
23/06/20 11:50,1351957,666.27,343.7,46,14,1690,899.067795276131
23/06/20 11:50,1355347,678.2,596,61.9,14,1695,900.769492108393
23/06/20 11:50,1359327,795.8,508.6,60.2,14,1700,898.430507141483
23/06/20 11:50,1363860,906.8,380.8,63.6,14,1705,900.410170074262
23/06/20 11:50,1367738,775.4,473.8,51.4,14,1710,900.016949735025
23/06/20 11:51,1371301,712.8,398.8,46.5,14,1715,899.949151207026
23/06/20 11:51,1374591,658,343.8,35.4,14,1720,897.037290627727
23/06/20 11:51,1378924,866.4,225,18.6,14,1725,900.640676629729
23/06/20 11:51,1382574,730.2,323.8,26.2,13,1730,895.616949732177
23/06/20 11:51,1386964,878,413,23.8,14,1735,896.677964771202
23/06/20 11:51,1390552,717.11,633.3,67.5,14,1740,898.501695496756
23/06/20 11:51,1394227,735,622.8,108.6,14,1745,898.250848038966
23/06/20 11:51,1397703,695.4,303,37.3,14,1750,897.888134260932
23/06/20 11:51,1400257,510.7,663.3,70.2,15,1755,890.138985523816
23/06/20 11:51,1403103,569.11,380.5,41.9,15,1760,880.88135462515
23/06/20 11:51,1405854,550.2,411.6,53.4,16,1765,875.65084802434
23/06/20 11:51,1408616,552.6,337.6,46.1,16,1770,868.9254224395
23/06/20 11:52,1411527,581.88,513.5,66.7,16,1775,867.603390392013
23/06/20 11:52,1415162,727,401.6,37.8,16,1780,869.793220901905
23/06/20 11:52,1419954,958.4,225.8,18.2,16,1785,876.535591919734
23/06/20 11:52,1424751,958.4,296.8,33.4,16,1791,875.722972846227
23/06/20 11:52,1428750,796.2,403,35.9,16,1795,881.99321903028
23/06/20 11:52,1432082,671.2,534.8,46.2,16,1800,878.932203958667
23/06/20 11:52,1434969,576.85,630.4,51.6,16,1805,873.830507177985
23/06/20 11:52,1439254,857.54,458.8,38,15,1810,874.227119209859
23/06/20 11:52,1443495,847.83,322.9,35,16,1815,871.49152598775
23/06/20 11:52,1446573,615.8,1716,106.9,17,1820,868.830507185404
23/06/20 11:52,1450796,843.73,1122.5,83.4,17,1825,867.511864968225
23/06/20 11:52,1453611,563,773.8,58.6,18,1831,856.128378254469
23/06/20 11:53,1457231,723.86,643.9,31.6,18,1835,851.600000551147
23/06/20 11:53,1461283,809.8,742.4,37.3,18,1840,848.837286876087
23/06/20 11:53,1464758,694.06,604.3,38.7,18,1845,831.254237826115
23/06/20 11:53,1467897,629.45,685.9,46.3,18,1850,816.335593748664
23/06/20 11:53,1469924,403.35,604.2,93.8,18,1855,807.76610049635
23/06/20 11:53,1472624,541.54,644.4,40.4,18,1861,799.361486370793
23/06/20 11:53,1474993,474.4,799.8,132.1,18,1865,791.094914080409
23/06/20 11:53,1477638,528.8,624.2,60.3,19,1870,782.830508981217
23/06/20 11:53,1479891,450.8,591.6,51.4,20,1876,767.445945834872
23/06/20 11:53,1482747,569.29,680.8,53.9,20,1880,754.488136081518
23/06/20 11:53,1485975,645.6,712.6,88.9,20,1885,747.610169975372
23/06/20 11:53,1489267,658.4,711.8,69.4,20,1890,749.040676854674
23/06/20 11:54,1491947,536,611.2,83.1,20,1895,743.403390311632
23/06/20 11:54,1494649,540.49,624.3,83.8,20,1900,735.383049756295
23/06/20 11:54,1498906,851.2,539.2,33.4,20,1905,741.057627598249
23/06/20 11:54,1504328,1105.63,274.1,28.8,20,1911,740.760135027923
23/06/20 11:54,1507755,685.2,246.6,21.5,20,1915,739.898305563601
23/06/20 11:54,1512159,881,407.2,56,20,1920,734.393220814275
23/06/20 11:54,1515727,713.03,593.5,76.1,20,1925,737.932202294885
23/06/20 11:54,1519599,775.02,353.5,49.1,20,1930,725.894915724029
23/06/20 11:54,1523267,733.6,496.8,87.4,21,1935,720.508473507179
23/06/20 11:54,1526574,661.27,473.3,57.3,20,1940,716.884746226673
23/06/20 11:54,1530163,717.66,386.3,46.5,20,1945,715.061015888144
23/06/20 11:54,1533131,593.6,717.2,66.7,20,1950,711.254237748452
23/06/20 11:55,1536173,608.4,379.4,50.8,20,1955,706.203390287556
23/06/20 11:55,1540249,814.71,232.1,44.6,19,1960,704.583049801996
23/06/20 11:55,1544671,884.05,336.3,30.7,19,1965,707.461017407014
23/06/20 11:55,1548763,818.4,323.4,42.6,19,1970,705.877965054312
