Jun 22 11:03:40.646 WARN Ethereum 2.0 is pre-release. This software is experimental.
Jun 22 11:03:40.646 INFO Using default testnet                   default: witti-v0-11-3
Jun 22 11:05:17.951 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:05:18.001 INFO Syncing                                 est_time: 1 hrs 25 mins, speed: 36.00 slots/sec, distance: 185063 slots (3 weeks 4 days), peers: 18, service: slot_notifier
Jun 22 11:05:30.001 INFO Syncing                                 est_time: 1 hrs 25 mins, speed: 36.00 slots/sec, distance: 184552 slots (3 weeks 4 days), peers: 18, service: slot_notifier
Jun 22 11:05:42.002 INFO Syncing                                 est_time: 1 hrs 19 mins, speed: 38.67 slots/sec, distance: 183977 slots (3 weeks 4 days), peers: 18, service: slot_notifier
Jun 22 11:05:54.001 INFO Syncing                                 est_time: 1 hrs 7 mins, speed: 45.34 slots/sec, distance: 183210 slots (3 weeks 4 days), peers: 18, service: slot_notifier
Jun 22 11:06:06.001 INFO Syncing                                 est_time: 1 hrs 3 mins, speed: 48.00 slots/sec, distance: 182763 slots (3 weeks 4 days), peers: 19, service: slot_notifier
Jun 22 11:06:12.370 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:06:12.626 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:06:12.750 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:06:13.301 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:06:18.001 INFO Syncing                                 est_time: 1 hrs 5 mins, speed: 46.65 slots/sec, distance: 182317 slots (3 weeks 4 days), peers: 19, service: slot_notifier
Jun 22 11:06:30.001 INFO Syncing                                 est_time: 1 hrs 13 mins, speed: 41.34 slots/sec, distance: 181997 slots (3 weeks 4 days), peers: 19, service: slot_notifier
Jun 22 11:06:42.001 INFO Syncing                                 est_time: 1 hrs 27 mins, speed: 34.65 slots/sec, distance: 181551 slots (3 weeks 4 days), peers: 20, service: slot_notifier
Jun 22 11:06:54.002 INFO Syncing                                 est_time: 1 hrs 43 mins, speed: 29.34 slots/sec, distance: 181359 slots (3 weeks 4 days), peers: 20, service: slot_notifier
Jun 22 11:07:06.001 INFO Syncing                                 est_time: 2 hrs 5 mins, speed: 24.02 slots/sec, distance: 181168 slots (3 weeks 4 days), peers: 21, service: slot_notifier
Jun 22 11:07:18.001 INFO Syncing                                 est_time: 1 hrs 52 mins, speed: 26.67 slots/sec, distance: 180721 slots (3 weeks 4 days), peers: 21, service: slot_notifier
Jun 22 11:07:22.740 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:07:22.825 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:07:23.053 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:07:23.842 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:07:30.001 INFO Syncing                                 est_time: 2 hrs 20 mins, speed: 21.35 slots/sec, distance: 180530 slots (3 weeks 4 days), peers: 22, service: slot_notifier
Jun 22 11:07:42.001 INFO Syncing                                 est_time: 1 hrs 58 mins, speed: 25.34 slots/sec, distance: 180147 slots (3 weeks 4 days), peers: 22, service: slot_notifier
Jun 22 11:07:54.003 INFO Syncing                                 est_time: 1 hrs 37 mins, speed: 30.67 slots/sec, distance: 179700 slots (3 weeks 3 days), peers: 22, service: slot_notifier
Jun 22 11:08:06.001 INFO Syncing                                 est_time: 1 hrs 58 mins, speed: 25.33 slots/sec, distance: 179509 slots (3 weeks 3 days), peers: 22, service: slot_notifier
Jun 22 11:08:07.835 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:08:07.895 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:08:08.062 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:08:08.730 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:08:18.001 INFO Syncing                                 est_time: 1 hrs 57 mins, speed: 25.33 slots/sec, distance: 179318 slots (3 weeks 3 days), peers: 23, service: slot_notifier
Jun 22 11:08:30.001 INFO Syncing                                 est_time: 1 hrs 57 mins, speed: 25.33 slots/sec, distance: 178935 slots (3 weeks 3 days), peers: 24, service: slot_notifier
Jun 22 11:08:31.573 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:08:31.847 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:08:42.001 INFO Syncing                                 est_time: 2 hrs 45 mins, speed: 18.00 slots/sec, distance: 178840 slots (3 weeks 3 days), peers: 25, service: slot_notifier
Jun 22 11:08:54.001 INFO Syncing                                 est_time: 2 hrs 11 mins, speed: 22.67 slots/sec, distance: 178425 slots (3 weeks 3 days), peers: 26, service: slot_notifier
Jun 22 11:09:06.001 INFO Syncing                                 est_time: 1 hrs 45 mins, speed: 28.00 slots/sec, distance: 177978 slots (3 weeks 3 days), peers: 26, service: slot_notifier
Jun 22 11:09:06.796 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:09:07.271 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:09:07.399 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:09:18.002 INFO Syncing                                 est_time: 1 hrs 51 mins, speed: 26.67 slots/sec, distance: 177659 slots (3 weeks 3 days), peers: 27, service: slot_notifier
Jun 22 11:09:23.597 WARN RPC Error                               client: Lighthouse: version: v0.1.2-unstable, os_version: x86_64-linux, error: Stream Timeout, request_id: Router, peer_id: 16Uiu2HAmMvENue2gXZ4vExdZVDeW5ZK8vnCYMHCWzxTxsjkHxaMV, service: router
Jun 22 11:09:30.001 INFO Syncing                                 est_time: 1 hrs 30 mins, speed: 32.67 slots/sec, distance: 177276 slots (3 weeks 3 days), peers: 28, service: slot_notifier
Jun 22 11:09:34.387 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:09:34.438 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:09:42.001 INFO Syncing                                 est_time: 1 hrs 36 mins, speed: 30.67 slots/sec, distance: 176957 slots (3 weeks 3 days), peers: 28, service: slot_notifier
Jun 22 11:09:54.001 INFO Syncing                                 est_time: 1 hrs 35 mins, speed: 30.67 slots/sec, distance: 176510 slots (3 weeks 3 days), peers: 28, service: slot_notifier
Jun 22 11:10:01.085 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:10:01.593 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:10:01.666 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:10:06.002 INFO Syncing                                 est_time: 1 hrs 28 mins, speed: 33.33 slots/sec, distance: 176063 slots (3 weeks 3 days), peers: 29, service: slot_notifier
Jun 22 11:10:18.011 INFO Syncing                                 est_time: 1 hrs 31 mins, speed: 31.97 slots/sec, distance: 175745 slots (3 weeks 3 days), peers: 30, service: slot_notifier
Jun 22 11:10:30.001 INFO Syncing                                 est_time: 1 hrs 31 mins, speed: 32.00 slots/sec, distance: 175425 slots (3 weeks 3 days), peers: 30, service: slot_notifier
Jun 22 11:10:42.001 INFO Syncing                                 est_time: 1 hrs 27 mins, speed: 33.33 slots/sec, distance: 174914 slots (3 weeks 3 days), peers: 30, service: slot_notifier
Jun 22 11:10:47.727 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:10:47.790 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:10:48.163 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:10:52.023 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:10:54.001 INFO Syncing                                 est_time: 1 hrs 27 mins, speed: 33.33 slots/sec, distance: 174467 slots (3 weeks 3 days), peers: 30, service: slot_notifier
Jun 22 11:11:06.002 INFO Syncing                                 est_time: 1 hrs 17 mins, speed: 37.36 slots/sec, distance: 173956 slots (3 weeks 3 days), peers: 31, service: slot_notifier
Jun 22 11:11:18.001 INFO Syncing                                 est_time: 1 hrs 12 mins, speed: 40.00 slots/sec, distance: 173509 slots (3 weeks 3 days), peers: 31, service: slot_notifier
Jun 22 11:11:30.001 INFO Syncing                                 est_time: 1 hrs 7 mins, speed: 42.67 slots/sec, distance: 172870 slots (3 weeks 3 days), peers: 31, service: slot_notifier
Jun 22 11:11:42.002 INFO Syncing                                 est_time: 1 hrs 7 mins, speed: 42.67 slots/sec, distance: 172423 slots (3 weeks 2 days), peers: 33, service: slot_notifier
Jun 22 11:11:50.032 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:11:50.089 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:11:50.644 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:11:54.008 INFO Syncing                                 est_time: 1 hrs 26 mins, speed: 33.33 slots/sec, distance: 172360 slots (3 weeks 2 days), peers: 33, service: slot_notifier
Jun 22 11:12:06.002 INFO Syncing                                 est_time: 1 hrs 33 mins, speed: 30.67 slots/sec, distance: 172041 slots (3 weeks 2 days), peers: 33, service: slot_notifier
Jun 22 11:12:18.001 INFO Syncing                                 est_time: 1 hrs 47 mins, speed: 26.67 slots/sec, distance: 171594 slots (3 weeks 2 days), peers: 33, service: slot_notifier
Jun 22 11:12:30.001 INFO Syncing                                 est_time: 1 hrs 52 mins, speed: 25.31 slots/sec, distance: 171212 slots (3 weeks 2 days), peers: 34, service: slot_notifier
Jun 22 11:12:33.862 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:12:34.104 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:12:34.381 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:12:42.001 INFO Syncing                                 est_time: 1 hrs 25 mins, speed: 33.33 slots/sec, distance: 170764 slots (3 weeks 2 days), peers: 33, service: slot_notifier
Jun 22 11:12:54.001 INFO Syncing                                 est_time: 1 hrs 36 mins, speed: 29.33 slots/sec, distance: 170637 slots (3 weeks 2 days), peers: 32, service: slot_notifier
Jun 22 11:13:06.001 INFO Syncing                                 est_time: 1 hrs 36 mins, speed: 29.33 slots/sec, distance: 170190 slots (3 weeks 2 days), peers: 34, service: slot_notifier
Jun 22 11:13:18.001 INFO Syncing                                 est_time: 1 hrs 41 mins, speed: 28.02 slots/sec, distance: 169871 slots (3 weeks 2 days), peers: 34, service: slot_notifier
Jun 22 11:13:22.792 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:13:23.238 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:13:23.755 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:13:23.862 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:13:30.001 INFO Syncing                                 est_time: 1 hrs 51 mins, speed: 25.33 slots/sec, distance: 169552 slots (3 weeks 2 days), peers: 34, service: slot_notifier
Jun 22 11:13:42.001 INFO Syncing                                 est_time: 1 hrs 28 mins, speed: 32.00 slots/sec, distance: 169105 slots (3 weeks 2 days), peers: 35, service: slot_notifier
Jun 22 11:13:54.001 INFO Syncing                                 est_time: 1 hrs 40 mins, speed: 28.00 slots/sec, distance: 168850 slots (3 weeks 2 days), peers: 35, service: slot_notifier
Jun 22 11:14:06.001 INFO Syncing                                 est_time: 1 hrs 45 mins, speed: 26.67 slots/sec, distance: 168595 slots (3 weeks 2 days), peers: 36, service: slot_notifier
Jun 22 11:14:18.002 INFO Syncing                                 est_time: 1 hrs 50 mins, speed: 25.33 slots/sec, distance: 168340 slots (3 weeks 2 days), peers: 36, service: slot_notifier
Jun 22 11:14:26.127 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:14:26.173 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:14:27.023 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:14:30.001 INFO Syncing                                 est_time: 2 hrs 24 mins, speed: 19.33 slots/sec, distance: 168181 slots (3 weeks 2 days), peers: 36, service: slot_notifier
Jun 22 11:14:33.630 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:14:42.004 INFO Syncing                                 est_time: 2 hrs 11 mins, speed: 21.33 slots/sec, distance: 167830 slots (3 weeks 2 days), peers: 36, service: slot_notifier
Jun 22 11:14:50.681 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:14:51.189 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:14:54.002 INFO Syncing                                 est_time: 2 hrs 19 mins, speed: 19.98 slots/sec, distance: 167640 slots (3 weeks 2 days), peers: 37, service: slot_notifier
Jun 22 11:15:06.001 INFO Syncing                                 est_time: 2 hrs 19 mins, speed: 20.00 slots/sec, distance: 167384 slots (3 weeks 2 days), peers: 37, service: slot_notifier
Jun 22 11:15:18.001 INFO Syncing                                 est_time: 2 hrs 6 mins, speed: 22.00 slots/sec, distance: 167129 slots (3 weeks 2 days), peers: 37, service: slot_notifier
Jun 22 11:15:30.001 INFO Syncing                                 est_time: 2 hrs 2 mins, speed: 22.67 slots/sec, distance: 166746 slots (3 weeks 2 days), peers: 37, service: slot_notifier
Jun 22 11:15:32.149 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:15:32.217 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:15:32.596 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:15:33.615 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:15:33.637 WARN RPC Error                               client: Prysm: version: unknown, os_version: unknown, error: Handler rejected the request, request_id: 374, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: router
Jun 22 11:15:33.639 WARN Batch failed. RPC Error                 peer: PeerId("16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f"), retries: 0, id: 372, chain_id: 9709505443129918935, service: sync
Jun 22 11:15:42.001 INFO Syncing                                 est_time: 1 hrs 30 mins, speed: 30.67 slots/sec, distance: 166172 slots (3 weeks 2 days), peers: 37, service: slot_notifier
Jun 22 11:15:54.002 INFO Syncing                                 est_time: 1 hrs 30 mins, speed: 30.67 slots/sec, distance: 165916 slots (3 weeks 2 days), peers: 37, service: slot_notifier
Jun 22 11:16:06.001 INFO Syncing                                 est_time: 1 hrs 26 mins, speed: 31.98 slots/sec, distance: 165598 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:16:07.976 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:16:08.032 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:16:08.220 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:16:18.001 INFO Syncing                                 est_time: 1 hrs 38 mins, speed: 28.00 slots/sec, distance: 165406 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:16:30.001 INFO Syncing                                 est_time: 1 hrs 38 mins, speed: 28.02 slots/sec, distance: 164831 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:16:42.002 INFO Syncing                                 est_time: 1 hrs 37 mins, speed: 28.00 slots/sec, distance: 164576 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:16:42.347 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:16:42.386 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:16:42.574 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
Jun 22 11:16:43.289 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:16:54.001 INFO Syncing                                 est_time: 1 hrs 21 mins, speed: 33.36 slots/sec, distance: 164001 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:17:06.001 INFO Syncing                                 est_time: 1 hrs 3 mins, speed: 42.67 slots/sec, distance: 163362 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:17:18.001 INFO Syncing                                 est_time: 58 mins, speed: 46.67 slots/sec, distance: 162595 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:17:30.001 INFO Syncing                                 est_time: 48 mins, speed: 56.00 slots/sec, distance: 161892 slots (3 weeks 1 days), peers: 38, service: slot_notifier
Jun 22 11:17:35.760 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:17:36.048 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
