2020-06-23 11:20:16  Starting OpenEthereum/v3.0.1-stable-8ca8089e9b-20200601/x86_64-unknown-linux-gnu/rustc1.43.1
2020-06-23 11:20:16  Keys path /home/user/.local/share/io.parity.ethereum/keys/goerli
2020-06-23 11:20:16  DB path /home/user/.local/share/io.parity.ethereum/chains/goerli/db/b1d518969eab529d
2020-06-23 11:20:16  State DB configuration: fast
2020-06-23 11:20:16  Operating mode: active
2020-06-23 11:20:16  Configured for Görli Testnet using Clique engine
2020-06-23 11:20:16  Updater is deprecated and may be removed in a future release. Please see #11696 for details:
https://github.com/openethereum/openethereum/issues/11696
2020-06-23 11:20:21  Public node URL: enode://8c5c4dec9a0728c7058d3c29698bae888adc244e443cebc21f3d708a20751511acbf98a52b5e5ea472f8715c658913e8084123461fd187a4980a0600420b0791@10.67.38.7:30303
2020-06-23 11:20:46     0/25 peers   920 bytes chain   91 KiB db  0 bytes queue 752 bytes sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:01  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    1 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:06  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    1 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:11  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    2 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:16  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    2 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:21  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    2 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:26  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    2 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:31  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    2 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:36  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    2/25 peers    171 KiB chain  166 KiB db  0 bytes queue    5 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:41  Syncing    #6548 0x7bbd…3cff  1207.56 blk/s    1.0 tx/s    0.0 Mgas/s      0+ 4619 Qed    #11177    2/25 peers      1 MiB chain  897 KiB db    9 MiB queue    8 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:46  Syncing   #14863 0xd183…859f  1660.53 blk/s   26.0 tx/s   11.3 Mgas/s      0+ 8241 Qed    #23115    3/25 peers      4 MiB chain    3 MiB db   16 MiB queue    8 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:51  Syncing   #23464 0x2f57…ff57  1723.00 blk/s   52.4 tx/s   14.4 Mgas/s      0+12603 Qed    #36069    3/25 peers      5 MiB chain    5 MiB db   26 MiB queue   13 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:23:56  Syncing   #32645 0x424a…e27f  1836.00 blk/s   20.2 tx/s    8.6 Mgas/s      0+19044 Qed    #51690    3/25 peers      5 MiB chain    8 MiB db   39 MiB queue   10 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:01  Syncing   #40987 0xa2da…9e61  1668.40 blk/s   41.2 tx/s   34.6 Mgas/s      0+20344 Qed    #61342    3/25 peers      5 MiB chain   10 MiB db   40 MiB queue   10 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:06  Syncing   #48948 0xd025…d6e3  1591.16 blk/s   53.8 tx/s   25.8 Mgas/s      0+21151 Qed    #70105    3/25 peers      5 MiB chain   12 MiB db   40 MiB queue   10 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:11  Syncing   #56300 0x2da2…e2bb  1471.09 blk/s    8.4 tx/s    2.3 Mgas/s      0+18875 Qed    #75185    3/25 peers      5 MiB chain   12 MiB db   36 MiB queue   10 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:16  Syncing   #63739 0x9a9b…e653  1487.40 blk/s   16.0 tx/s    2.7 Mgas/s      0+19554 Qed    #83292    3/25 peers      5 MiB chain   15 MiB db   38 MiB queue   10 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:21  Syncing   #71594 0xc9cc…5c6b  1570.14 blk/s   29.0 tx/s    9.2 Mgas/s      0+18700 Qed    #90298    3/25 peers      5 MiB chain   18 MiB db   36 MiB queue   11 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:26  Syncing   #79561 0xb741…d2de  1593.20 blk/s   50.8 tx/s   11.8 Mgas/s      0+19241 Qed    #98807    4/25 peers      5 MiB chain   19 MiB db   37 MiB queue   11 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:31  Syncing   #86160 0x6679…efd6  1320.00 blk/s   54.8 tx/s   15.3 Mgas/s      0+21658 Qed   #107824    4/25 peers      5 MiB chain   21 MiB db   42 MiB queue   10 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:36  Syncing   #93251 0xf8b9…5c9c  1417.63 blk/s   50.2 tx/s   12.8 Mgas/s      0+18630 Qed   #111888    4/25 peers      5 MiB chain   22 MiB db   36 MiB queue   12 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:41  Syncing  #102764 0xa8e1…1d18  1903.36 blk/s   36.4 tx/s   15.5 Mgas/s      0+18258 Qed   #121032    4/25 peers      5 MiB chain   24 MiB db   38 MiB queue    8 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:46  Syncing  #111101 0x0c1e…d634  1667.40 blk/s   58.0 tx/s   14.4 Mgas/s      0+21233 Qed   #132335    4/25 peers      5 MiB chain   26 MiB db   45 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:51  Syncing  #118156 0xdddb…15dd  1411.20 blk/s   61.0 tx/s   29.2 Mgas/s      0+20448 Qed   #140685    4/25 peers      5 MiB chain   33 MiB db   42 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:24:56  Syncing  #124489 0x7171…a4d8  1266.35 blk/s  188.4 tx/s   67.2 Mgas/s      0+21829 Qed   #146940    4/25 peers      5 MiB chain   37 MiB db   43 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:01  Syncing  #133673 0x9a43…4989  1834.93 blk/s   76.3 tx/s   15.8 Mgas/s      0+18024 Qed   #152529    4/25 peers      5 MiB chain   39 MiB db   38 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:06  Syncing  #141937 0x2014…324c  1651.35 blk/s   63.3 tx/s   17.4 Mgas/s      0+18333 Qed   #160275    4/25 peers      5 MiB chain   41 MiB db   40 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:11  Syncing  #148340 0xf01b…139f  1282.08 blk/s  123.1 tx/s   46.6 Mgas/s      0+19164 Qed   #167514    4/25 peers      5 MiB chain   43 MiB db   41 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:16  Syncing  #153818 0x02e3…1306  1095.20 blk/s  160.8 tx/s   57.7 Mgas/s      0+19915 Qed   #173737    4/25 peers      5 MiB chain   46 MiB db   41 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:21  Syncing  #161456 0xd0b6…ad30  1527.19 blk/s  108.4 tx/s   34.4 Mgas/s      0+18517 Qed   #184024    4/25 peers      5 MiB chain   53 MiB db   36 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:26  Syncing  #168672 0x6c1b…3423  1442.71 blk/s  106.2 tx/s   26.5 Mgas/s      0+22204 Qed   #190882    4/25 peers      5 MiB chain   55 MiB db   44 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:31  Syncing  #176416 0x2c76…6087  1548.80 blk/s   51.2 tx/s   15.1 Mgas/s      0+17766 Qed   #194184    4/25 peers      5 MiB chain   57 MiB db   36 MiB queue   25 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:36  Syncing  #184579 0x568a…5c3d  1632.80 blk/s   63.8 tx/s    8.8 Mgas/s      0+15944 Qed   #200534    4/25 peers      4 MiB chain   59 MiB db   41 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:41  Syncing  #191490 0x1e3e…77db  1382.00 blk/s  125.4 tx/s   22.6 Mgas/s      0+16029 Qed   #207519    4/25 peers      5 MiB chain   61 MiB db   43 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:46  Syncing  #195143 0x26d4…cd8e   730.80 blk/s  170.4 tx/s   65.7 Mgas/s      0+15925 Qed   #211075    4/25 peers      5 MiB chain   65 MiB db   39 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:51  Syncing  #196340 0xe12b…fc0c   239.35 blk/s  160.0 tx/s   45.5 Mgas/s      0+18789 Qed   #215139    4/25 peers      5 MiB chain   70 MiB db   41 MiB queue   17 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:25:56  Syncing  #201517 0xf0bd…d1cb  1035.20 blk/s  123.6 tx/s   33.1 Mgas/s      0+21110 Qed   #222632    5/25 peers      5 MiB chain   74 MiB db   44 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:01  Syncing  #207323 0xc270…ed9d  1161.40 blk/s  130.2 tx/s   78.3 Mgas/s      0+23303 Qed   #230633    5/25 peers      5 MiB chain   86 MiB db   47 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:06  Syncing  #215101 0x007a…9b0c  1555.60 blk/s   32.0 tx/s    5.6 Mgas/s      0+21496 Qed   #236602    5/25 peers      5 MiB chain   87 MiB db   46 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:11  Syncing  #222446 0x3029…277e  1468.80 blk/s  122.8 tx/s   28.4 Mgas/s      0+18597 Qed   #241047    5/25 peers      5 MiB chain   91 MiB db   45 MiB queue   17 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:16  Syncing  #228772 0x9f90…8c32  1265.40 blk/s  225.4 tx/s   39.4 Mgas/s      0+20782 Qed   #249556    5/25 peers      5 MiB chain   95 MiB db   49 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:21  Syncing  #234268 0x0485…a5c4  1099.20 blk/s  319.4 tx/s   50.6 Mgas/s      0+16302 Qed   #250572    5/25 peers      5 MiB chain  111 MiB db   38 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:26  Syncing  #239015 0x3bf0…02aa   949.40 blk/s  537.4 tx/s   54.1 Mgas/s      0+18134 Qed   #257156    5/25 peers      5 MiB chain  115 MiB db   39 MiB queue   19 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:31  Syncing  #245855 0xbb4d…e150  1366.98 blk/s  170.7 tx/s   70.6 Mgas/s      0+20331 Qed   #266193    5/25 peers      5 MiB chain  120 MiB db   41 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:36  Syncing  #252381 0x2c89…6325  1305.60 blk/s   99.6 tx/s   23.9 Mgas/s      0+19772 Qed   #272162    5/25 peers      5 MiB chain  122 MiB db   41 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:41  Syncing  #258810 0xa0b5…ad11  1285.40 blk/s   71.6 tx/s   19.4 Mgas/s      3+20189 Qed   #284100    5/25 peers      5 MiB chain  124 MiB db   45 MiB queue   15 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:46  Syncing  #264697 0x8479…a8d0  1177.64 blk/s   84.8 tx/s   21.9 Mgas/s      0+19398 Qed   #284100    5/25 peers      5 MiB chain  126 MiB db   46 MiB queue   15 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:51  Syncing  #268942 0xf3af…5d87   849.20 blk/s  145.2 tx/s   55.3 Mgas/s      0+16045 Qed   #284995    5/25 peers      5 MiB chain  129 MiB db   38 MiB queue   15 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:26:56  Syncing  #274517 0x5312…03d2  1114.53 blk/s  116.9 tx/s   35.2 Mgas/s      0+16830 Qed   #291348    5/25 peers      5 MiB chain  132 MiB db   39 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:01  Syncing  #280504 0xf2a2…c9ed  1196.52 blk/s  114.2 tx/s   60.2 Mgas/s      0+15999 Qed   #296505    5/25 peers      5 MiB chain  135 MiB db   35 MiB queue   22 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:06  Syncing  #284942 0x792d…fa32   887.80 blk/s  505.2 tx/s   60.1 Mgas/s      0+19982 Qed   #304928    5/25 peers      5 MiB chain  139 MiB db   41 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:11  Syncing  #290771 0x18dd…f630  1165.57 blk/s  149.2 tx/s   21.6 Mgas/s      0+21897 Qed   #312675    5/25 peers      5 MiB chain  143 MiB db   48 MiB queue   15 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:16  Syncing  #296505 0x8d47…0774  1146.80 blk/s   97.0 tx/s   16.6 Mgas/s      0+17558 Qed   #314072    4/25 peers      5 MiB chain  161 MiB db   40 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:21  Syncing  #302967 0x5117…8788  1292.20 blk/s  151.6 tx/s   27.2 Mgas/s      0+16079 Qed   #319049    5/25 peers      5 MiB chain  165 MiB db   39 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:26  Syncing  #308193 0x56b6…cc23  1045.40 blk/s  192.8 tx/s   56.4 Mgas/s      0+18336 Qed   #326538    5/25 peers      5 MiB chain  170 MiB db   44 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:31  Syncing  #313987 0x9ec8…b389  1158.80 blk/s  171.2 tx/s   43.0 Mgas/s      0+20013 Qed   #334011    5/25 peers      5 MiB chain  173 MiB db   47 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:36  Syncing  #318274 0x0b85…5ad8   857.40 blk/s  214.6 tx/s   73.6 Mgas/s      0+18025 Qed   #336307    5/25 peers      5 MiB chain  171 MiB db   40 MiB queue   18 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:41  Syncing  #321902 0x9960…a339   725.80 blk/s  142.6 tx/s   44.7 Mgas/s      0+17947 Qed   #339853    3/25 peers      2 MiB chain  168 MiB db   40 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:46  Syncing  #325950 0xffae…cd19   809.04 blk/s  137.4 tx/s   33.3 Mgas/s      0+17713 Qed   #343663    5/25 peers      3 MiB chain  166 MiB db   40 MiB queue   17 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:51  Syncing  #331500 0x824c…00a2  1110.20 blk/s  144.2 tx/s   33.8 Mgas/s      0+17777 Qed   #349283    5/25 peers      5 MiB chain  165 MiB db   41 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:27:56  Syncing  #337563 0x5536…86df  1211.63 blk/s  151.5 tx/s   31.6 Mgas/s      0+19686 Qed   #357252    6/25 peers      5 MiB chain  163 MiB db   45 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:01  Syncing  #343122 0x9ccd…55ec  1111.58 blk/s  169.4 tx/s   42.4 Mgas/s      0+21623 Qed   #364745    6/25 peers      2 MiB chain  163 MiB db   49 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:06  Syncing  #347128 0x5955…76bb   800.08 blk/s  256.2 tx/s   40.8 Mgas/s      0+18123 Qed   #365253    4/25 peers      5 MiB chain  162 MiB db   40 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:11  Syncing  #351040 0xd593…5184   782.40 blk/s  218.4 tx/s   38.6 Mgas/s      0+19418 Qed   #370460    6/25 peers      5 MiB chain  160 MiB db   42 MiB queue   16 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:16  Syncing  #355167 0x79b0…08a4   816.15 blk/s  211.8 tx/s   35.8 Mgas/s      0+16306 Qed   #371476    6/25 peers      5 MiB chain  160 MiB db   35 MiB queue   48 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:21  Syncing  #359514 0x367e…5ef3   878.90 blk/s  170.1 tx/s   31.5 Mgas/s      0+26132 Qed   #385658    6/25 peers      5 MiB chain  160 MiB db   59 MiB queue   30 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:26  Syncing  #365110 0x50df…89ff  1118.20 blk/s  266.8 tx/s   37.2 Mgas/s      0+20540 Qed   #385658    6/25 peers      5 MiB chain  161 MiB db   46 MiB queue   30 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:31  Syncing  #369847 0x49bd…a145   948.20 blk/s  270.8 tx/s   32.5 Mgas/s      0+17625 Qed   #388875    6/25 peers      5 MiB chain  159 MiB db   40 MiB queue   29 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:36  Syncing  #373116 0x4932…676f   653.80 blk/s  380.2 tx/s   45.2 Mgas/s      0+18928 Qed   #392050    6/25 peers      6 MiB chain  157 MiB db   43 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:41  Syncing  #375179 0x1304…8bad   412.80 blk/s  409.6 tx/s   36.6 Mgas/s      0+17377 Qed   #392563    6/25 peers      1 MiB chain  154 MiB db   39 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:46  Syncing  #379201 0x5e4f…1e5d   804.20 blk/s  240.2 tx/s   30.6 Mgas/s      0+18818 Qed   #398024    6/25 peers      3 MiB chain  152 MiB db   43 MiB queue   31 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:51  Syncing  #384605 0x1d2c…ff8c  1080.80 blk/s  157.4 tx/s   23.0 Mgas/s      0+16969 Qed   #401575    6/25 peers      5 MiB chain  152 MiB db   40 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:28:56  Syncing  #389554 0xc90e…b893   989.80 blk/s  242.8 tx/s   48.6 Mgas/s      0+16461 Qed   #406023    6/25 peers      5 MiB chain  152 MiB db   38 MiB queue   41 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:01  Syncing  #393592 0x2213…756c   807.36 blk/s  287.3 tx/s   37.2 Mgas/s      0+25132 Qed   #418726    6/25 peers      6 MiB chain  152 MiB db   58 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:06  Syncing  #398719 0x61e8…9e31  1025.60 blk/s  182.2 tx/s   34.5 Mgas/s      0+19996 Qed   #418726    7/25 peers      5 MiB chain  152 MiB db   47 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:11  Syncing  #402992 0xeb58…4867   854.60 blk/s  276.8 tx/s   34.0 Mgas/s      0+15972 Qed   #418974    7/25 peers      5 MiB chain  151 MiB db   38 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:16  Syncing  #406694 0x9cd5…e4ec   740.20 blk/s  498.6 tx/s   29.1 Mgas/s      0+19642 Qed   #426340    7/25 peers      6 MiB chain  150 MiB db   46 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:21  Syncing  #408768 0xf7c1…4762   414.80 blk/s  419.8 tx/s   37.7 Mgas/s      0+17566 Qed   #426340    7/25 peers      6 MiB chain  149 MiB db   40 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:26  Syncing  #412679 0x6562…1f9c   782.40 blk/s  493.8 tx/s   36.3 Mgas/s      0+16702 Qed   #429388    7/25 peers      6 MiB chain  146 MiB db   40 MiB queue   39 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:31  Syncing  #416721 0x2cfb…ef82   808.40 blk/s  360.8 tx/s   29.3 Mgas/s      0+17357 Qed   #434087    7/25 peers      3 MiB chain  145 MiB db   43 MiB queue   38 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:36  Syncing  #421252 0x63c0…4a0f   906.20 blk/s  303.4 tx/s   25.3 Mgas/s      0+17659 Qed   #438913    7/25 peers      5 MiB chain  144 MiB db   53 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:41  Syncing  #426074 0x019f…d782   964.40 blk/s  453.8 tx/s   55.2 Mgas/s      0+12835 Qed   #438913    7/25 peers      6 MiB chain  144 MiB db   41 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:46  Syncing  #429716 0xb86e…85cc   728.20 blk/s  569.6 tx/s   78.2 Mgas/s      0+12236 Qed   #441962    7/25 peers      6 MiB chain  142 MiB db   39 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:51  Syncing  #433101 0x851e…4aa3   677.20 blk/s  487.6 tx/s   37.1 Mgas/s      0+14058 Qed   #447168    7/25 peers      3 MiB chain  142 MiB db   44 MiB queue   27 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:29:56  Syncing  #435904 0x4b1c…ac0e   560.69 blk/s  484.5 tx/s   49.9 Mgas/s      0+12412 Qed   #448318    7/25 peers      3 MiB chain  141 MiB db   38 MiB queue   40 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:30:01  Syncing  #437377 0x9940…f471   294.40 blk/s  378.0 tx/s   54.6 Mgas/s      0+15628 Qed   #453010    7/25 peers      5 MiB chain  141 MiB db   46 MiB queue   32 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:30:06  Syncing  #439421 0xc335…4592   408.80 blk/s  698.2 tx/s   55.8 Mgas/s      0+13588 Qed   #453010    7/25 peers      2 MiB chain  141 MiB db   39 MiB queue   34 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:30:11  Syncing  #442091 0x63a2…3c8d   534.20 blk/s  504.2 tx/s   55.2 Mgas/s      0+15865 Qed   #457963    7/25 peers      3 MiB chain  141 MiB db   42 MiB queue   34 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
